Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-25 17:32:30",2.58,23.51,96e05e,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.50,23.68,b5e3ac,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.41,24.55,c767dc,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",3.11,24.76,0f6d37,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.92,24.28,fac9f5,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.93,25.05,9a8ece,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",3.30,23.90,20b1db,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.80,24.34,d1ce27,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",3.34,25.24,bfa472,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.18,22.91,c40951,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:30",2.83,24.19,fbb639,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",3.07,24.91,93b4ba,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",3.13,25.94,bbf2c6,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",4.38,28.31,dccd11,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",4.05,25.72,b4e1b2,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",3.35,28.23,cb0cec,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",4.35,29.52,08098e,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",4.37,26.65,72343b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",3.70,27.86,061ce4,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",5.00,30.69,48e157,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
"2025-07-25 17:32:29",4.54,30.42,f7da17,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,2,101
