Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-25 17:31:46",9.21,34.35,71e609,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:46",9.50,33.64,64703c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:46",5.96,28.16,875d2a,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:46",5.81,30.81,8d497c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",6.94,30.84,7f00b3,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.65,32.74,5c10cd,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.30,31.61,f5e6d8,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.51,32.33,1bdc18,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.35,31.32,349989,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",6.25,28.68,fc6214,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.56,32.36,8ac27d,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.47,32.76,33f367,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.19,30.10,19f3f9,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.14,31.06,3f3507,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",6.79,29.48,f439dc,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.06,31.86,1af18e,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.00,31.87,eacd2e,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.55,31.94,405f8a,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.65,32.27,6c1976,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.36,31.55,869c3e,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",8.39,31.44,2b6a0c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.54,30.09,6e721f,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.32,30.19,656ede,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",5.98,28.06,f72b44,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:45",7.12,31.83,4c9020,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",5.70,27.43,af2a7d,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",8.41,30.88,29a247,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",6.65,29.43,b104ec,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",5.71,30.85,f9211c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",5.79,27.29,d4362c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",5.79,28.71,86a111,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.44,30.97,e9482f,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",6.98,29.57,604972,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",5.69,27.66,cbbbd3,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.04,31.58,5b0f60,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",6.84,28.98,99f411,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.17,30.47,76876c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",8.33,30.72,906d9e,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",6.79,29.29,015890,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",6.38,28.26,c32f39,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",8.12,31.17,5619af,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.17,30.09,04415a,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.60,31.48,fabf37,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",8.74,32.20,f4ba88,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",8.14,31.73,43d0e7,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:44",7.22,28.82,e0270c,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",8.75,30.92,bfb87f,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.63,30.51,cfce94,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",5.96,27.91,205452,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.57,30.32,18f141,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.02,29.19,b1532b,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",8.09,30.38,fd3064,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.85,30.53,0a71a9,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.39,30.75,4f2ced,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.02,29.14,ccbd1f,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",6.63,31.42,2d4bc1,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",8.30,30.68,ff63bf,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.80,32.34,5d3f9f,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",8.34,31.06,82205b,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",8.10,29.94,173322,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",6.07,29.11,5a2098,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",6.18,28.13,5ed619,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",5.88,27.72,4a0fdf,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",5.74,29.35,f9a255,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",6.73,28.39,f7ceca,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
"2025-07-25 17:31:43",7.58,30.25,567d58,127.0.0.1,GET,http://127.0.0.1:8000/admin/media,3,49
