Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-30 22:03:30",45.18,668.18,047dab,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:29",41.14,668.56,b64d45,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:29",32.05,653.61,c907b3,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:28",44.18,669.64,31f20a,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:27",41.65,666.72,4f0986,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:27",46.58,671.00,535983,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:26",38.46,668.23,082bd1,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:25",40.83,669.46,74aeaf,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:25",36.09,662.47,17de41,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:24",45.83,671.39,b36851,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:23",38.47,661.45,ebf63f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:22",47.87,679.33,0ba4c2,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:22",45.56,671.69,63c8ea,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:21",36.25,662.09,22d871,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:20",43.29,672.24,b2ea24,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:20",41.04,671.10,d7483c,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:19",42.14,668.79,cfd4a7,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:18",46.59,674.77,9a13e5,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:18",45.16,674.91,238a27,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:17",38.84,665.53,86ad81,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:16",39.28,670.89,353396,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:16",42.60,669.98,3570c4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:15",39.05,669.41,187e5c,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:14",39.34,664.57,0b0b2c,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:14",40.95,666.93,e8d665,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:13",44.39,668.33,fe2ff4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:12",43.97,671.54,68d92e,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:11",41.96,671.47,b8a953,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:11",44.73,674.47,8385fd,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:10",42.08,667.61,1a22eb,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:09",39.98,662.80,02318f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:09",44.05,667.51,1a446e,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:08",39.38,663.69,7d6217,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:07",41.13,667.72,3baa48,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:07",42.62,671.15,806b02,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:06",41.16,668.93,6655c4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:05",38.74,663.80,058934,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:05",44.52,675.71,93e84b,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:04",46.80,674.46,2f5593,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:03",40.71,673.24,834d3c,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:02",35.53,660.74,50a94a,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:02",42.98,673.61,6b1ba0,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:01",42.72,669.79,2af2de,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:00",42.65,669.99,350a57,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:03:00",43.98,669.44,b710f3,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:59",39.53,663.91,85fdf1,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:58",46.75,675.61,a2da2b,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:58",45.82,678.25,eb23fb,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:57",42.38,667.09,baf9bd,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:56",42.21,668.81,cecdff,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:56",47.34,682.49,3ba794,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:55",38.12,664.89,c082c9,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:54",41.38,663.63,ec4890,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:53",46.62,670.97,ebfce2,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:53",45.42,678.05,19e14a,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:52",44.78,671.82,cc3fac,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:51",35.93,658.01,fea3ad,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:51",40.99,669.64,5f178b,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:50",42.19,664.74,ff68c9,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:49",46.21,676.77,fdaf3b,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:49",40.99,666.67,a2c431,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:48",41.03,669.26,5f379f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:47",45.62,670.13,56fba8,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:47",41.82,676.25,5095d0,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:46",40.10,668.61,43e892,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:45",40.33,665.61,0dedc0,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
"2025-07-30 22:02:44",34.90,662.59,cf93de,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,20001
