Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-07-18 16:37:55",5.45,24.65,2853a3,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",5.23,24.40,4961fe,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",3.99,23.73,eae9b1,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.64,22.85,cb79a4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.55,23.79,95db9e,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.09,23.36,4e2f4f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.27,25.06,60d579,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",5.42,28.24,aa18f5,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.89,24.02,ebbf08,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.47,24.29,578328,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.76,24.99,7603b0,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.35,23.74,534d1f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",5.64,27.80,f01247,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.64,23.40,addb68,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.76,24.03,c6f192,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.15,23.28,10d431,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",4.60,26.15,769282,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:55",5.29,24.95,8fe7d7,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.71,26.03,56c571,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.52,25.56,162de9,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.41,24.22,302b1b,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.23,25.71,a81d5a,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.06,23.50,1252f4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.11,25.02,63bb67,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.88,22.37,f72f92,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.40,21.62,c7ab83,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.80,27.01,7eac5f,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.84,23.55,0d72ef,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.97,23.42,718e22,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.94,23.45,9d3122,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.89,22.79,94cea1,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.46,24.54,eb62bc,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.86,23.72,61ee22,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.74,22.39,636fcf,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.39,25.42,23c1f9,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.23,22.34,228b41,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.65,22.63,9ca517,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.53,23.60,3be3a4,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",4.53,24.08,45bbb6,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.00,23.88,1af45a,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",3.99,22.56,774065,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
"2025-07-18 16:37:54",5.03,23.92,d4e093,127.0.0.1,GET,http://127.0.0.1:8000/portfolio,3,21
