Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-08-21 18:09:23",3.31,20.78,3509fe,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",12.59,33.15,a216fe,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",3.81,22.96,1aa0a3,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",5.07,22.10,8d6520,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",1.65,25.34,90ae3d,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",2.97,19.03,dfa731,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",3.74,19.52,6fe768,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",3.30,20.06,877838,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",3.29,25.67,59eacc,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",3.17,18.39,48f8f8,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:23",5.75,23.25,c0d5f3,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.72,17.94,14d42b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.88,17.23,592ebe,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",5.05,22.37,fd35e7,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.71,23.29,1b51ce,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.32,23.67,4124de,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",4.22,19.64,e95b48,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.89,18.48,61f01f,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.59,19.18,171a14,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.81,20.73,501a5e,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",4.07,20.29,8e6197,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.08,19.89,69d1f1,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.36,18.43,20a27a,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.89,18.19,0ba240,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.58,18.04,fb708b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.25,17.62,e431ea,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.89,17.32,ba0e06,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.57,19.20,1c512a,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.84,19.81,117fc0,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.02,18.15,3dfcaf,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.19,19.87,60d8d1,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",4.58,20.07,0b7b6b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.85,18.33,94c662,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.42,19.47,3a921e,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.69,17.19,7f7e0f,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.68,17.28,5838f1,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.47,18.00,addc7c,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",2.61,18.01,4456ac,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",4.40,18.93,567175,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.56,17.95,88cbac,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",3.43,17.20,a2143e,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",5.14,19.53,e6f43d,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:22",4.83,18.98,7b408a,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.85,19.02,4c6bad,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.82,19.59,4f818f,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.05,18.25,d137ec,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.01,18.98,0239e9,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.83,20.10,193c9a,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.75,19.58,367934,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.34,19.10,170541,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.80,21.85,77cbd3,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",5.10,20.55,3da10b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.55,20.49,df49d3,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.12,21.46,09a445,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.47,20.02,883d40,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.73,20.61,10c6ea,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.94,17.81,d9ef69,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.19,18.83,d62a8f,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",6.45,25.62,86c121,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.73,19.69,5567fa,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.26,19.27,d12999,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.81,25.17,d39c50,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.54,20.14,3fb0a6,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",4.06,19.76,f115db,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.17,20.09,6dd8ff,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.49,18.34,7bb8e9,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.95,17.98,9dd26b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.24,18.59,e4bc77,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.20,18.27,950d7b,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.79,17.87,de352c,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.49,17.42,c7bf1a,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",2.96,18.30,16e3de,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.04,17.83,6aff45,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
"2025-08-21 18:09:21",3.03,18.41,34d97d,127.0.0.1,GET,http://127.0.0.1:8000/admin/album,3,26
