Time,"Query Time (ms)","Render Time (ms)",Token,IP,Method,URL,Queries,"Managed Entities"
"2025-08-21 18:06:01",4.15,20.37,908155,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:01",4.58,20.96,13ff54,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:01",4.21,20.63,920d2c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.47,21.51,505fa3,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.96,19.48,78d157,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.39,19.72,fcf4a4,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.73,20.22,7206f7,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.11,18.88,f138c7,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.71,19.84,bb85d2,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.46,19.65,750a6d,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.19,19.04,7642a5,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.35,19.22,ff5dd4,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.80,21.29,cbfb4e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.29,19.15,282714,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.96,20.43,d0a444,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.62,20.16,18012b,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.85,19.82,bef3ff,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.02,18.86,655d99,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.54,21.08,df21da,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.09,20.13,888db7,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.92,20.11,c445a6,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.80,20.26,640054,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.24,20.70,90cf9a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.26,20.97,fc8be0,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.65,19.80,9b2b7e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.46,19.73,4251ec,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.22,19.11,4e5835,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.35,19.56,764448,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.41,19.25,ecc57a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.20,19.52,868632,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.10,18.67,16d268,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.16,18.89,199003,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.95,20.44,ef9c7a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",3.69,19.67,e626f2,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:06:00",4.31,22.69,c10921,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.93,21.65,c45098,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.55,20.23,13ebd2,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.74,19.64,b55144,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.35,18.94,7f9202,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.86,20.58,de56ed,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.08,20.25,437a07,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",2.99,18.97,936a94,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",5.05,21.13,c53f8e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.90,20.37,966af8,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.21,21.29,013b48,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.91,20.38,ee2f55,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.17,19.03,69887c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.77,19.38,e1f5f8,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.74,19.46,0f7646,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.07,19.22,99d623,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",2.85,18.85,96fe09,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.16,20.45,d151fa,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.25,19.17,6b241e,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.29,20.82,61a503,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.95,20.80,b64214,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.30,21.29,40a705,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.71,20.06,85800c,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.27,18.79,d43952,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.25,18.75,482e55,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",4.41,20.95,f85047,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.30,18.47,8ea7ce,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.59,19.50,f5a7c0,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.59,19.86,cbbc1a,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.40,18.71,6a2364,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.96,20.00,cc4309,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
"2025-08-21 18:05:59",3.60,19.43,16b4a8,127.0.0.1,GET,http://127.0.0.1:8000/admin/guest/manage,3,16
